interval,NSPC,cnt
"[600, 700)",10.56175551262862,11167
"[700, 800)",10.83380972299684,14344
"[800, 900)",11.062155979698336,4663
"[900, 1000)",10.71310973275136,4353
"[1000, 1100)",10.426792968202829,14278
"[1100, 1200)",10.385653807171463,16397
"[1200, 1300)",10.41664137260125,11116
"[1300, 1400)",11.088244785063962,8677
"[1400, 1500)",11.781878135685297,41724
"[1500, 1600)",10.66707468987998,44687
"[1600, 1700)",10.795141639036286,21129
"[1700, 1800)",11.050408949870885,23092
"[1800, 1900)",11.396085855929767,20373
